character,line,line_clean
Rick,Morty! You gotta come on. Jus'... you gotta come with me.,Morty! You gotta come on. Jus'... you gotta come with me.
Rick,"I got a surprise for you, Morty.","I got a surprise for you, Morty."
Rick,"Come on, I got a surprise for you.  Come on, hurry up.","Come on, I got a surprise for you. Come on, hurry up."
Rick,"We gotta go, gotta get outta here, come on. Got a surprise for you Morty.","We gotta go, gotta get outta here, come on. Got a surprise for you Morty."
Rick,"What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage.","What do you think of this... flying vehicle, Morty? I built it outta stuff I found in the garage."
Rick,"Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb.","Morty. I had to... I had to do it. I had— I had to— I had to make a bomb, Morty. I had to create a bomb."
Rick,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.","We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start."
Rick,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.","Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica."
Rick,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.","When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam."
Rick,And Jessica's gonna be Eve.,And Jessica's gonna be Eve.
Rick,"And so that's the surprise, Morty.","And so that's the surprise, Morty."
Rick,"I-I get what you're trying to say, Morty. Listen, I'm not...  You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty.","I-I get what you're trying to say, Morty. Listen, I'm not... You don't got... Y-you don’t gotta worry about me trying to fool around with Jessica or mess around with Jessica or anything. I'm not that kind of guy, Morty."
Rick,"You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty.","You-you don't have to worry about me getting with Jessica or anything. Sh-sh-she— she, she, she's all for you, Morty."
Rick,"You know what, Morty? You're right.  Let's forget the girl altogether. She, she's probably nothing but trouble, anyways.","You know what, Morty? You're right. Let's forget the girl altogether. She, she's probably nothing but trouble, anyways."
Rick,"Get off of me, Morty!","Get off of me, Morty!"
Rick,"Come on! What’s gotten into you? If you love Earth so much why don’t you marry it?  What are you, crazy? Alright, alright, Morty.","Come on! What’s gotten into you? If you love Earth so much why don’t you marry it? What are you, crazy? Alright, alright, Morty."
